name,type,equipment,difficult
Barbell Bulgarian Split Squat_L,strength,101,expert
Barbell Stiff-Leg Deadlift,strength,101,intermediate
Barbell Overhead Tricep Extension,strength,101,intermediate
Barbell Bent-Over Row (Reverse Grip),strength,101,intermediate
Barbell Military Press (Seated),strength,101,intermediate
Barbell Good Morning,strength,101,intermediate
Barbell Push Press,olympic_weightlifting,101,intermediate
Barbell Front Raise,strength,101,intermediate
Barbell Sumo Deadlift,strength,101,intermediate
Barbell Seated Tricep Extension,strength,101,intermediate
Barbell Rack Pull,strength,101,intermediate
Barbell Incline Bench Row,strength,101,intermediate
Barbell Pullover,strength,101,expert
Barbell Clean and Jerk,strength,101,expert
Barbell Lateral Lunge,strength,101,expert
Barbell Squat with Narrow Stance,strength,101,expert
Barbell Decline Bench Press (Wide Grip),strength,101,expert
Barbell Landmine Squat,strength,101,expert
Barbell Overhead Squat,strength,101,expert
Barbell Incline Bench Press (Reverse Grip),strength,101,expert
Barbell Reverse Tricep Bench Press,strength,101,expert
Barbell Incline Shoulder Raise,strength,101,expert
Barbell Pullover and Press,strength,101,expert
Barbell Decline Bench Press (Reverse Grip),strength,101,expert
Barbell Squat to Upright Row,strength,101,expert
Seated_Lat_Pulldown(Pause),strength,11,intermediate
Seated Leg Extension(Pause),strength,14,intermediate
Seated Leg Press Exercise(Pause),strength,15,intermediate
Seated Close-Grip Shoulder Press(Pause),strength,16,intermediate
Seated Shoulder Press(Pause),strength,16,intermediate
Seated Cable Row(Pause),strength,10,intermediate
Standing Decline Cable Flyes(Pause),strength,19,intermediate
Standing Incline Cable Flyes(Pause),strength,19,intermediate
Tricep Extension(Pause),strength,17,intermediate
Calf Raise(Pause),strength,1,intermediate
Calf Raise on leg press(Pause),strength,15,intermediate
Glute Press(Pause),strength,2,intermediate
Lying Hamstrings Curl(Pause),strength,4,intermediate
Seated Biceps Curl(Pause),strength,5,intermediate
Seated Chest Press(Pause),strength,6,intermediate
Seated Close-Grip Chest Press(Pause),strength,6,intermediate
Seated Crunch(Pause),strength,8,intermediate
Seated Incline Chest Press(Pause),strength,7,intermediate
Decline Chest Press(Pause),strength,21,intermediate
Seated Row(Pause),strength,9,intermediate
Squat Jump(Count Movement),plyometrics,109,beginner
Squat Jump(Concentric),plyometrics,109,beginner
Drop Jump,plyometrics,109,expert
Nordic Hamstring,strength,109,expert
Seated Leg Press Exercise(wide),strength,15,intermediate
Seated Leg Press Exercise(narrow),strength,15,intermediate
Seated single Leg Press Exercise_R,strength,15,intermediate
Seated single Leg Press Exercise_L,strength,109,intermediate
Dumbbell Bench Press,strength,100,beginner
Dumbbell Fly,strength,100,intermediate
Incline Dumbbell Press,strength,100,beginner
Decline Dumbbell Press,strength,100,beginner
Dumbbell Pullover,strength,100,expert
Dumbbell Shoulder Press,strength,100,beginner
Dumbbell Lateral Raise,strength,100,intermediate
Dumbbell Front Raise,strength,100,intermediate
Dumbbell Rear Delt Fly,strength,100,expert
Dumbbell Upright Row,strength,100,intermediate
Dumbbell Bicep Curl,strength,100,beginner
Dumbbell Hammer Curl,strength,100,beginner
Dumbbell Preacher Curl,strength,100,beginner
Dumbbell Concentration Curl_R,strength,100,intermediate
Dumbbell Concentration Curl_L,strength,100,intermediate
Dumbbell Seated Tricep Extension,strength,100,beginner
Dumbbell Kickback,strength,100,beginner
Dumbbell Standing Tricep Extension,strength,100,intermediate
Dumbbell Bent-Over Row,strength,100,intermediate
Dumbbell One-Arm Row_R,strength,100,intermediate
Dumbbell One-Arm Row_L,strength,100,intermediate
Dumbbell Shrug,strength,100,beginner
Dumbbell Deadlift,strength,100,intermediate
Dumbbell Squat,strength,100,intermediate
Dumbbell Lunge,strength,100,intermediate
Dumbbell Step-Up,strength,100,intermediate
Dumbbell Calf Raise,strength,100,beginner
Dumbbell Russian Twist,strength,100,intermediate
Dumbbell Crunch,strength,100,intermediate
Dumbbell Side Bend,strength,100,beginner
Dumbbell Woodchopper,strength,100,intermediate
Dumbbell Plank Row,strength,100,expert
Dumbbell Turkish Get-Up,strength,100,expert
Dumbbell Swing,strength,100,intermediate
Dumbbell Clean,olympic_weightlifting,100,expert
Dumbbell Snatch,olympic_weightlifting,100,expert
Dumbbell Jump Squat,plyometrics,100,expert
Dumbbell Thruster,strength,100,intermediate
Dumbbell Renegade Row,strength,100,intermediate
Dumbbell Incline Row,strength,100,intermediate
Dumbbell Good Morning,strength,100,intermediate
Dumbbell Hip Thrust,strength,100,intermediate
Dumbbell Bulgarian Split Squat_R,strength,100,expert
Dumbbell Bulgarian Split Squat_L,strength,100,expert
Dumbbell Single-Leg Deadlift_R,strength,100,expert
Dumbbell Single-Leg Deadlift_L,strength,100,expert
Dumbbell Arnold Press,strength,100,intermediate
Dumbbell Reverse Fly,strength,100,intermediate
Dumbbell Pallof Press,strength,100,intermediate
Dumbbell Cross-Body Hammer Curl,strength,100,intermediate
Dumbbell Tricep Pullover,strength,100,intermediate
Dumbbell Front Squat,strength,100,intermediate
Dumbbell Goblet Squat,strength,100,intermediate
Dumbbell Lateral Lunge,strength,100,intermediate
Dumbbell Reverse Lunge,strength,100,intermediate
Dumbbell Crossover Lunge,strength,100,expert
Dumbbell Single-Arm Snatch_R,olympic_weightlifting,100,expert
Dumbbell Single-Arm Snatch_L,olympic_weightlifting,100,expert
Dumbbell Single-Arm Clean and Jerk_R,olympic_weightlifting,100,expert
Dumbbell Single-Arm Clean and Jerk_L,olympic_weightlifting,100,expert
Dumbbell Spider Curl,strength,100,intermediate
Dumbbell Zottman Curl,strength,100,intermediate
Dumbbell Incline Hammer Curl,strength,100,intermediate
Dumbbell Lying Tricep Extension,strength,100,intermediate
Dumbbell Incline Fly,strength,100,intermediate
Dumbbell Decline Fly,strength,100,intermediate
Dumbbell Crossover,strength,100,intermediate
Dumbbell Y Raise,strength,100,intermediate
Dumbbell Front Squat to Press,strength,100,expert
Dumbbell Lateral Raise Drop Set,strength,100,intermediate
Dumbbell Incline Y Raise,strength,100,intermediate
Dumbbell Standing Calf Raise,strength,100,beginner
Dumbbell Seated Calf Raise,strength,100,beginner
Dumbbell Single-Leg Calf Raise,strength,100,intermediate
Dumbbell Wrist Curl,strength,100,beginner
Dumbbell Reverse Wrist Curl,strength,100,beginner
Dumbbell Around the World,strength,100,intermediate
